time,x_1,y_1,psi_1,phi_1,v_1,x_2,y_2,psi_2,phi_2,v_2
1.7,20.20069105933971,3.84543964799753,0.19383419923435222,-0.1339164784976185,12.108774446649981,29.79931972166453,-3.8454737875915854,3.335423212843954,-0.13395936278197496,12.10876995982873
1.72,20.438450010088495,3.8914894733010934,0.1913140401490475,-0.1543002729645678,12.108871238658239,29.561560680141866,-3.891522607888771,3.332902548281529,-0.15433066853783853,12.108866139732982
1.74,20.676344078865952,3.9368492326678948,0.18841053970535984,-0.17731512146754264,12.10899414974371,29.323666514165172,-3.9368813020336666,3.329998797466817,-0.17733001871294413,12.108988948289111
1.76,20.91439125412356,3.9814151017325887,0.1850720758552301,-0.2032008533837411,12.10914678373438,29.0856192468176,-3.9814461004582364,3.3266603141578197,-0.20320191914982044,12.1091414590505
1.78,21.152611099228782,4.025069138566806,0.18124016597253756,-0.23223573136375095,12.109332096861639,28.847399321208368,-4.025099093331111,3.3228285196727323,-0.2322288862294927,12.109326647673123
1.8,21.391024753384322,4.067676991756425,0.17684699960859218,-0.2647817087679659,12.10955197775991,28.60898559501483,-4.067705913570926,3.318435402366166,-0.26477877288901924,12.10954643745583
1.82,21.62965499348434,4.109084439278187,0.17181062003272246,-0.30138474583651853,12.109806790412458,28.370355272073066,-4.1091122330106025,3.3133986260040866,-0.3014069468163203,12.10980122837874
1.84,21.868526503859673,4.14911143436901,0.1660246010721911,-0.3430140456739356,12.110094839098846,28.131483623452024,-4.1491377387096895,3.3076110955182263,-0.34309664002366974,12.110089349399109
1.86,22.107666772713973,4.187540056213918,0.15933274427452604,-0.3917086917176169,12.11041154996909,27.892343087166154,-4.187564025393002,3.30091570368105,-0.39189491754562755,12.110406227874522
1.8800000000000001,22.34710905798942,4.22408418958919,0.15145314864575185,-0.45269251286258666,12.110747464707572,27.65290035794964,-4.224104585659623,3.2930309427653683,-0.45295015928991683,12.110742454363383
1.9000000000000001,22.58690452596648,4.258281112637016,0.14165358478457665,-0.5440218082292855,12.111079226092645,27.41310475864795,-4.258300010789236,3.2832400396870476,-0.5436301701958955,12.11107515295477
1.92,22.827148062036034,4.289216096940025,0.12806044142937123,-0.6981316519141261,12.111351068009402,27.172861100969985,-4.289233495895761,3.2696468923602793,-0.6981316517629815,12.111347525696672
1.94,23.06779753660178,4.316883642901527,0.11446772939987748,-0.6981316899892407,12.111736323531547,26.932211513304452,-4.316899541657223,3.256054177021396,-0.6981316899707837,12.111733374255765
1.96,23.308808417055847,4.341278525109309,0.10087544474776268,-0.6981316985778387,12.112117359815242,26.691200519241416,-4.3412929238158835,3.242461890235879,-0.698131698571553,12.112115458534925
1.98,23.5501359103099,4.362396105511599,0.08728357186151878,-0.6981317022244925,12.112484386195502,26.449872910147146,-4.362409004488835,3.228870016489632,-0.6981317022214303,12.112483619608035
2.0,23.79173496016393,4.380232341256391,0.07369208348901755,-0.698131704168166,12.112827105584483,26.20827375064941,-4.380243740058957,3.215278528055684,-0.6981317041663485,12.11282705057324
2.02,24.033560244388035,4.394783792970257,0.06010094021163779,-0.6981317053290645,12.113134693076825,25.966448373889552,-4.394793690436364,3.2016873849018817,-0.6981317053278339,12.11313480287089
2.04,24.27556616704373,4.406047633222883,0.046510089593261424,-0.6981317060643413,12.113395549728223,25.724442384969088,-4.406056027878664,3.1880965340779603,-0.6981317060634217,12.113395366083155
2.06,24.517706901641592,4.4140216580954945,0.0329194681641494,-0.6981317065386904,12.113599839050746,25.482301621052276,-4.4140285483352955,3.1745059115158503,-0.698131706537946,12.11359882865499
2.08,24.759936437990543,4.418704296848604,0.01932900359045266,-0.6981317068359658,12.113739656431326,25.240072112250086,-4.41870968092178,3.160915443765134,-0.6981317068353194,12.113736824039323
2.1,25.002208634341812,4.42009461948524,0.005738617124297972,-0.698131707000464,12.113809281342851,24.997799832813765,-4.4200984996593835,3.1473250614756876,-0.6981317069998471,12.113813004247335
2.12,25.244477282687868,4.418192341907806,-0.007851773220395115,-0.6981317070541027,12.113805825524556,24.75553118774073,-4.418194717827114,3.133734671610214,-0.6981317070534964,12.113806252658517
2.14,25.486696178116887,4.412997827855184,-0.021442249272074124,-0.6981317070036439,12.113729429772395,24.513312358511403,-4.412998700162482,3.120144193654608,-0.6981317070030167,12.113727732699354
2.16,25.728819188849226,4.404512087420865,-0.03503288926871134,-0.6981317068427437,12.113583296944892,24.271189459833437,-4.40451145725693,3.1065535503283455,-0.6981317068420598,12.113580329154205
2.18,25.970800321358173,4.392736772299887,-0.048623764695656435,-0.6981317065500351,12.113373450087042,24.02920847320802,-4.392734641015758,3.092962670820545,-0.6981317065492461,12.113369812832557
2.2,26.212593775695925,4.377674168328211,-0.06221493766249878,-0.6981317060821203,12.113108250877135,23.787415190348316,-4.377670537341853,3.0793714934835927,-0.6981317060811506,12.113104355981351
2.22,26.454153985866352,4.359327186289728,-0.07580645910494342,-0.6981317053568601,12.112797662751017,23.54585517027063,-4.359322056939114,3.065779967773642,-0.6981317053555771,12.112793859490916
2.24,26.695435648025903,4.337699351783469,-0.0893983676538805,-0.698131704213327,12.112452654180172,23.304573712585178,-4.337692725343823,3.0521880552976195,-0.6981317042114654,12.112449154491971
2.2600000000000002,26.936393744687336,4.3127947942336435,-0.1029906887100749,-0.6981317023041294,12.112085011823012,23.063615839847333,-4.312786672634507,3.0385957303689377,-0.6981317023010679,12.112081560975918
2.2800000000000002,27.17698353522846,4.2846182383710625,-0.11658343539247232,-0.6981316987411964,12.111705661559002,22.823026292051335,-4.284608623745805,3.025002979903235,-0.6981316987351207,12.111702290330701
2.3000000000000003,27.417160526774293,4.253174998849233,-0.13017661054259017,-0.6981316904460788,12.111323686908687,22.582849568168925,-4.253163894304999,3.0114098007137424,-0.698131690429076,12.111320087471679
2.32,27.65688046776279,4.218470973919641,-0.1437702069801621,-0.6981316551993559,12.110947470557234,22.34312990847607,-4.218458381430384,2.9978162006203513,-0.6981316550746538,12.11094421041707
2.34,27.896240180831043,4.181398401813893,-0.15366131548030912,-0.5481339408353656,12.110682045414482,22.10377006523396,-4.18138706049568,2.9879365250716168,-0.5476195794347207,12.110678902567379
2.36,28.135292560035932,4.1424314416091645,-0.161584798619489,-0.4548687733203748,12.110374064226942,21.8647177794287,-4.142419963451719,2.9800072353239204,-0.45515784918914115,12.11037055584303
2.38,28.374071575372604,4.101859420536092,-0.1683070740891997,-0.39330154587937805,12.110068853932784,21.625939057085517,-4.10184660468013,2.9732799318172582,-0.3935661841299493,12.110065615566315
2.4,28.6126052809249,4.059901667961301,-0.17411746270976963,-0.3443393733658924,12.109787537941711,21.38740576469272,-4.059886830299343,2.9674666737574142,-0.3444962113684195,12.10978470552896
